THBS1,TNFAIP6
THBS1,FGF2
MMP14,TIMP2
MMP14,RRAD
MMP14,FGFR2
MRPS6,RNF181
GPM6B,SLC6A4
TNFRSF1B,ACTG1
TNFRSF1B,TNF
TNFRSF1B,SLC1A3
ADCYAP1,FAP
ADCYAP1,CLU
RTN3,PLEKHF2
RTN3,PRTFDC1
RTN3,FXR2
EHD2,EPN1
EHD2,TAGLN2
DISC1,ACTG1
DISC1,NEFM
DISC1,CLU
DISC1,SRR
DISC1,SPARCL1
DISC1,TNIK
SLC6A9,PRKCA
MAP1LC3A,ATG7
MAP1LC3A,LGALS3
MAP1LC3A,PIK3C2A
QPRT,NOTCH2NL
LDHA,FN1
LDHA,SMS
MPV17,PEX5
MPV17,SFXN3
MPV17,NDUFB4
MICAL1,QRSL1
MICAL1,NEDD9
POU5F1,HMGB2
ASB1,CPS1
SETD7,HCFC1
HEXA,EZR
HEXA,FKBP9
HEXA,FYN
CTSD,CTSB
CTSD,FN1
CTSD,IGFBP3
FLNC,PRKCA
FLNC,FN1
FLNC,FYN
FLNC,XIRP1
TTYH3,MAPK3
GFAP,SH3YL1
GFAP,PRKCA
GBA,LAMP1
FN1,KRT8
FN1,HMGA1
FN1,EZR
FN1,FEN1
FN1,ACTG1
FN1,SF1
FN1,MCM2
FN1,PLEC
FN1,MCM7
FN1,TNC
FN1,MCM5
FN1,HMGB2
FN1,TGFBI
FN1,SARNP
FN1,ANXA1
FN1,IGFBP3
FN1,TNFAIP6
FN1,EPN1
FN1,TAGLN2
FN1,FYN
FN1,MYL6
HMGB2,HMGA1
HMGB2,EIF1B
HMGB2,PKNOX1
CPS1,CPT1A
SLC1A1,ARL6IP5
SLC1A1,PRKCA
REPS2,TRAPPC2L
REPS2,EPN1
MEIS1,PKNOX1
MEIS1,HOXA2
FGF2,GPC4
FGF2,FGFR2
ELK4,MAPK3
ELK4,SRF
EPN1,SLC6A3
CIAO1,SF1
CIAO1,GOLGA3
CIAO1,MCM5
CIAO1,HELLS
SEL1L,DERL2
SEL1L,FOXRED2
DCTPP1,NOA1
CTNNB1,EZR
CTNNB1,CTNND2
CTNNB1,AKAP12
CTNNB1,COPS3
CTNNB1,TNIK
CTNNB1,PRKCA
CTNNB1,FYN
PLD1,ACTG1
PLD1,PRKCA
CGGBP1,PLEKHF2
MAPK3,ELK1
MAPK3,SNCG
MAPK3,WDR83
MAPK3,KRT8
MAPK3,HTRA2
ACTG1,ANXA5
ACTG1,CCDC22
ACTG1,TNIK
ACTG1,PLEC
ACTG1,CAP2
ACTG1,LGR4
COPS3,COPS7A
COPS3,PHYH
NEBL,ACTN1
NEBL,XIRP1
NEBL,ZDHHC17
DERL2,ARL6IP5
MEIS2,ANXA1
MEIS2,PKNOX1
PPRC1,NRF1
CTSB,FAM118B
CTSB,IGF1
SNCG,TIMP2
SNCG,SLC6A4
E2F8,FHL3
E2F8,ZDHHC17
GNG12,GNB2
CTSL,CTSC
CTSL,SGTA
CTSL,IGFBP3
LGR4,SMC4
LGR4,GOLGA3
LGR4,CPT1A
LGR4,PIK3C2A
FAM118B,GNB2
NCAPG,FEN1
NCAPG,PLEC
NCAPG,SMC4
ACTN1,EZR
ACTN1,PALLD
ACTN1,CLU
YY1,RYBP
YY1,HCFC1
YY1,GABPA
ABL2,CAT
ABL2,FYN
ELF1,HMGA1
SYNGR3,GLP1R
IRF2BPL,NADK2
MCM5,MCM2
MCM5,MCM7
ATXN1,EIF1B
ATXN1,SF1
ATXN1,FYN
ATXN1,EIF1AY
SARNP,ACAA1
SARNP,THY1
HCFC1,GABPA
HCFC1,FHL3
PALLD,ACOX1
PALLD,EZR
UBL5,HSPB2
UBL5,WDR83
UBL5,CLK4
IGFBP3,IGF1
FHL1,AKAP12
FHL1,SRF
TRAPPC2L,TRAPPC3
TRAPPC2L,POSTN
SLX1B,ANXA1
SLX1B,SLIRP
HMGA1,ANXA1
HMGA1,SRF
HMGA1,PRKCA
RYBP,E2F6
AGPS,PEX5
AGPS,GNPAT
AGPS,LGALS3
SLC9A3R2,EZR
RFX6,FHL3
RFX6,NEDD9
SLC1A3,ZDHHC17
SGTA,ACAA2
SGTA,PPIC
SGTA,PBXIP1
TNC,CLU
TNC,NID2
SRR,GOLGA3
CAT,PEX5
CLK4,HSPB2
CLK4,RNF181
NADK2,HTRA2
SMS,NUDCD2
CLU,ELN
CLU,CYP2E1
CLU,TNIK
SPARCL1,TNF
ELK1,SRF
LAMP1,AIP
LAMP1,LGALS3
PLEC,SMC4
S100A11,ANXA1
